,Title(s),Multiplayer,Year(s) released,Developer(s),Publisher(s),Region(s) released
1288,Stuntman,,2003,Velez & Dubail,Atari SA,"NA, PAL"
1289,Sudoku Fever,,2006,Global Star Software,Take-Two Interactive,"NA, PAL"
1290,Sugar Sugar Rune: Heart Ga Ippai! Moegi Gakuen,,2005,Open Sesame,Bandai,JP
1291,The Suite Life of Zack & Cody: Tipton Caper,,2006,Artificial Mind and Movement,Buena Vista Games,
1292,"The Sum of All Fears NA, PAL• La Somme de Toutes les Peurs FR• Der Anschlag DE• The Sum of All Fears (Pánico Nuclear) ES• Al Vertice della Tensione ES",,2002,Red Storm Entertainment,Ubisoft,"NA, PAL"
1293,Summon Night: Swordcraft Story NA• Summon Night: Craft Sword Monogatari JP,Yes,2004 (JP)2006 (NA),Flight-Plan,Atlus,"NA, JP"
1294,Summon Night: Swordcraft Story 2 NA• Summon Night: Craft Sword Monogatari 2 JP,No,2006,Flight-Plan,Atlus,"NA, JP"
1295,Summon Night Craft Sword Monogatari: Hajimari no Ishi,Yes,2005,Flight-Plan,Banpresto,JP
1296,Super Army War NA• Glory Days: The Essence of War PAL,No,2005,Capcom,Capcom,"NA, PAL"
1297,Super Bubble Pop,,2003,Runecraft,Jaleco Entertainment,"NA, PAL"
1298,"Super Bust-A-Move NA, PAL• Super Puzzle Bobble Advance JP",,2001,Taito Corporation,"Taito JPUbisoftNA,PAL","NA, JP, PAL"
1299,Super Chinese 1+2 Advance,,2004,Culture Brain,Culture Brain,JP
1300,Super Collapse! II,,2002,GameHouse,Majesco Entertainment,
1301,"Super Dodge Ball Advance NA, PAL• Bakunetsu Dodgeball Fighters JP",,2001,"Million Co., Ltd.",Atlus,"NA, JP, PAL"
1302,Super Dropzone: Intergalactic Rescue Mission,,2003 (PAL)2004 (NA),Pocket Studios,Ignition Entertainment,"NA, PAL"
1303,Super Duper Sumos,,2003,Handheld Games,Midway,
1304,"Super Ghouls 'n Ghosts NA, PAL• Chou Makai-Mura R JP",No,2002,Affect,Capcom,"NA, JP, PAL"
1305,Super Hornet F/A-18F,,2004,UK Magic,Majesco Entertainment,
1306,Super Mario Advance,Yes (SPM),"March 21, 2001",Nintendo,Nintendo,"NA, JP, PAL"
1307,Super Mario Advance 2,Yes (SPM),"December 14, 2001",Nintendo,Nintendo,"NA, JP, PAL"
1308,Super Mario Advance 3,Yes (SPM),"September 20, 2002",Nintendo,Nintendo,"NA, JP, PAL"
1309,Super Mario Advance 4: Super Mario Bros. 3,Yes (SPM),"July 11, 2003",Nintendo,Nintendo,"NA, JP, PAL"
1310,Super Monkey Ball Jr.,Yes,2002,Realism,THQ,"NA, PAL"
1311,"Super Puzzle Fighter II NA, PAL• Super Puzzle Fighter II X JP",,2003,Atomic Planet Entertainment,Capcom,"NA, PAL"
1312,Super Real Mahjong Dousoukai,,2004,AI,Rocket Company,JP
1313,Super Robot Taisen: Original Generation,,2002,Banpresto,Banpresto / Atlus,"NA, JP, PAL"
1314,Super Robot Taisen: Original Generation 2,,2005,Banpresto,Banpresto / Atlus,"NA, JP"
1315,Super Robot Wars A,,2001,Banpresto,Banpresto,JP
1316,Super Robot Wars D,,2003,Banpresto,Banpresto,JP
1317,Super Robot Wars J,,2005,Banpresto,Banpresto,JP
1318,Super Robot Wars R,,2002,AI,Banpresto,JP
1319,"Super Street Fighter II Turbo Revival NA, PAL• Super Street Fighter II X: Revival JP",Yes (VS),2001,Capcom,Capcom,"NA, JP, PAL"
1320,Superman: Countdown to Apokolips,,2003,Mistic Software,Atari SA,"NA, PAL"
1321,"Superman Returns: Fortress of Solitude NA, PAL• Superman Returns: La Forteresse de Solitude FR• Superman Returns: Festung der Einsamkeit DE• Superman Returns: La Fortaleza de la Soledad ES• Superman Returns: La Fortezza della Solitudine IT",,2006,EA Tiburon,EA Games,"NA, PAL"
1322,"Surf's Up NA, PAL• Les Rois de la Glisse FR• Könige Der Wellen DE• Locos por el Surf ES• Surf's Up: I Re Delle Onde IT",,2007,Ubisoft Quebec,Ubisoft,"NA, PAL"
1323,Sweet Cookie Pie,,2001,,Culture Brain,JP
1324,"Sword of ManaNA, PAL• Shinyaku Seiken DensetsuJP",No,2003,Brownie Brown,Square Enix / Nintendo,"NA, JP, PAL"
1325,Sylvania Families: Fashion Designer ni Naritai! Kurumi Risu no Onna no Ko,,2004,,Epoch,JP
1326,Sylvania Families 4: Meguru Kisetsu no Tapestry,,2002,,Epoch,JP
1327,Sylvania Family: Yosei no Stick to Fushigi no Ki - Maron Inu no Onna no Ko,,2003,,Epoch,JP
1328,Tactics Ogre: The Knight of Lodis NA• Tactics Ogre Gaiden: The Knight of Lodis JP,No,2001,Quest,Atlus,"NA, JP"
1329,Taiketsu! Ultra Hero,,2004,,Jorudan,JP
1330,"Tak and the Power of Juju NA, PAL• Tak & Le Pouvoir de Juju FR• Tak und die Macht des Juju DE• Tak y el Poder Juju ES• Tak e la Magia Juju IT",No,2003,Avalanche Software,THQ,"NA, PAL"
1331,"Tak 2: The Staff of Dreams NA, PAL• Tak 2: Le Sceptre des Rêves FR• Tak 2: Der Stab der Träume DE• Tak 2: Lo Scettro dei Sogni IT",,2004,Avalanche Software,THQ,"NA, PAL"
1332,"Tak: The Great Juju Challenge NA, PAL• Tak: Die Große Juju-Jagd DE• Tak: La Grande Sfida IT",Yes (COOP),2005,WayForward,THQ,"NA, PAL"
1333,Tales of Phantasia,,2003 (JP)2006 (NA/PAL),Wolf Team,"Namco JPNintendo NA, PAL, AU","NA, JP, PAL, AU"
1334,Tales of the World: Narikiri Dungeon 2,,2002,Alfa System,Namco,JP
1335,Tales of the World: Narikiri Dungeon 3,,2005,Alfa System,Namco,JP
1336,Tales of the World: Summoner's Lineage,,2003,Magical Company,Namco,JP
1337,Tanbi Musō: Meine Liebe,,2001,Mobile 21,Konami,JP
1338,Tang Tang,,2001,GameVision Corporation,Take-Two Interactive,"NA, PAL"
1339,Tantei Gakuen Q: Kyuukyoku no Trick ni Idome!,,2004,,Konami,JP
1340,Tantei Gakuen Q: Meitantei Hakimida!,,2003,,Konami,JP
1341,Tantei Jingūji Saburō: Shiroi Kage no Shōjo,,2005,WorkJam,Marvelous Entertainment,JP
1342,Taxi 3,,2003,Visual Impact,Ubisoft,PAL
1343,Teen Titans,,2005,Artificial Mind and Movement,Majesco Entertainment,
1344,Teen Titans 2: The Brotherhood's Revenge,,2006[3],Artificial Mind and Movement,Majesco Entertainment,
1345,Teenage Mutant Ninja Turtles,,2003,Konami,Konami,"NA, PAL"
1346,Teenage Mutant Ninja Turtles 2: Battle Nexus,,2004,Konami,Konami,"NA, PAL"
1347,Tekken Advance,Yes,2001 (JP)2002 (NA/PAL),Namco,"Namco JP, NA / Infogrames PAL","NA, JP, PAL"
1348,Ten Pin Alley 2,,2004,Pronto Games,XS Games,
1349,Tennis Masters Series 2003,,2002,Kaolink,Microïds,PAL
1350,Tennis no Oji-Sama: Aim at the Victory!,,2002,KCEJ,Konami,JP
1351,Tennis no Oji-Sama: Genius Boys Academy,,2002,KCEJ,Konami,JP
1352,Tennis no Oji-Sama 2003: Cool Blue,,2003,,Konami,JP
1353,Tennis no Oji-Sama 2003: Passion Red,,2003,,Konami,JP
1354,Tennis no Oji-Sama 2004: Glorious Gold,,2004,,Konami,JP
1355,Tennis no Oji-Sama 2004: Stylish Silver,,2004,,Konami,JP
1356,Terminator 3: Rise of the Machines,,2003,Taniko,Atari SA,"NA, PAL"
1357,Tetris Worlds,,2001,Radical Entertainment,THQ,"NA, JP, PAL"
1358,Texas Hold 'Em Poker,,2004,Skyworks Technologies,Majesco Entertainment,
1359,That's So Raven,,2004,Vicarious Visions,Buena Vista Interactive,
1360,That's So Raven 2: Supernatural Style,,2005,Artificial Mind and Movement,Buena Vista Interactive,
1361,The Three Stooges,,2002,Cinemaware,Metro3D,
1362,Thunder Alley,,2004,Pronto Games,XS Games,
1363,Thunderbirds,,2004,Saffire,VU Games,"NA, PAL"
1364,Thunderbirds: International Rescue,,2001,Pukka Games,SCi,PAL
1365,Tiger Woods PGA Tour 2004,,2003,Electronic Arts,Electronic Arts,"NA, PAL"
1366,Tiger Woods PGA Tour Golf,,2002,Rebellion Developments,Destination Software,"NA, PAL"
