,Title(s),Multiplayer,Year(s) released,Developer(s),Publisher(s),Region(s) released
258,CT Special Forces 3: Bioterror,Yes,2004,Light and Shadow Productions,Light and Shadow Productions,PAL
259,Cubix: Robots for Everyone: Clash 'n Bash,,2001,,3DO,
260,"Curious George NA, PAL• Georges le Petit Curieux FR",,2006,Torus Games,Namco,"NA, PAL"
261,Custom Robo GX,,2002,Noise,Nintendo,JP
262,Cyber Drive Zoids: Hatakedamono no Senshi Hugh,,2003,Amedio,Tomy Corporation,JP
263,Dai-Mahjong,,2001,,Hori,JP
264,Daisenryaku,,2001,,Media Kite,JP
265,Daisuki Teddy,,2002,,MTO,JP
266,Dan Doh!! Tobase Shouri no Smile Shot,,2004,,Takara,JP
267,Dan Doh!! Xi,,2002,,GameVillage,JP
268,Dancing Sword: Senkou(Dancing Sword: Flash),,2003,,MTO,JP
269,"Danny Phantom: The Ultimate Enemy NA, PAL• Danny Fantome: L'Ultime Ennemi FR",,2005,Altron,THQ,"NA, PAL"
270,"Danny Phantom: Urban Jungle NA, PAL• Danny Phantom: Dschungelstadt DE",,2006,Altron,THQ,"NA, PAL"
271,Daredevil,No,2003,Griptonite Games,BAM!,"NA, PAL"
272,Darius R,,2002,"RideonJapan, Inc.",Pacific Century,JP
273,Dark Arena,,2002,Graphic State,Majesco Entertainment,
274,Dave Mirra Freestyle BMX 2,,2003,Full Fat,Acclaim,"NA, PAL"
275,Dave Mirra Freestyle BMX 3,,2004,Full Fat,AKA Acclaim,"NA, PAL"
276,David Beckham Soccer,,2002,Yoyo Entertainment,Rage Software,"NA, PAL"
277,Davis Cup Tennis,,2002,Hokus Pokus Games,Ubisoft,"NA, PAL"
278,Dead to Rights,,2004,Torus Games,Namco,"NA, PAL"
279,Deal or No Deal,,2007,Gravity-I,DSI Games,
280,Defender NA• Defender: For All Mankind PAL,,2002,Outlook Entertainment,Midway Games,"NA, PAL"
281,Defender of the Crown,,20022004,Crawfish Interactive,Metro3D,"NA, PAL"
282,DemiKids: Dark Version NA• Shin Megami Tensei: Devil Children Yami no Sho JP,,2002,Multimedia Intelligence Transfer,Atlus,"NA, JP"
283,DemiKids: Light Version NA• Shin Megami Tensei: Devil Children Hikari no Sho JP,,2002,Multimedia Intelligence Transfer,Atlus,"NA, JP"
284,Demon Driver: Time to Burn Rubber,,2004,Ignition Entertainment,AIA USA,"NA, PAL"
285,Denki Blocks!,,2001,Rage Software,Rage Software / Majesco Entertainment / Global A,"NA, JP, PAL"
286,Densetsu no Starfy(Legendary Stafy),No,2002,TOSE,Nintendo,JP
287,Densetsu no Starfy 2(Legendary Stafy 2),No,2003,TOSE,Nintendo,JP
288,Densetsu no Starfy 3(Legendary Stafy 3),Yes,2004,TOSE,Nintendo,JP
289,Derby Stallion Advance,,2002,ParityBit,Enterbrain,JP
290,Desert Strike Advance,No,2002,Budcat Creations,EA Games,
291,Dexter's Laboratory: Chess Challenge,,2002,Virtucraft,Bam Entertainment,"NA, PAL"
292,Dexter's Laboratory: Deesaster Strikes!,,2001,Virtucraft,Bam Entertainment,"NA, PAL"
293,DiaDroids World: Evil Teikoku no Yabou,,2001,,Epoch,JP
294,Di Gi Charat: Di Gi Communication,,2002,M2,Broccoli,JP
295,Di Gi Communication 2: Datou! Black GemaGema Dan!,,2004,M2,Broccoli,JP
296,Digimon Battle Spirit,Yes,2003,Dimps Corporation,Bandai,"NA, PAL"
297,Digimon Battle Spirit 2,Yes,2003 (NA)2004 (PAL),Dimps Corporation,Bandai,"NA, PAL"
298,Digimon Racing,Yes,2004,Griptonite Games,Bandai,"NA, JP, PAL"
299,Dinotopia: The Timestone Pirates,,2002,RFX Interactive,TDK Mediactive,"NA, PAL"
300,"Disney Princess NA, PAL• Disney Princesse FR• Disney Prinzessinnen DE• Disney Princesas ES• Disney Principesse IT",,2003,Art,THQ,"NA, PAL"
301,"Disney's Princess Royal Adventure NA, PAL• Disney Princesses: Aventures Enchantées FR• Disney Prinzessinnen: Königliches Abenteuer DE",Yes,2006,Konami,Disney Interactive Studios,"NA, PAL"
302,Disney Sports Basketball,,2002,Konami,Konami,"NA, JP, PAL"
303,Disney Sports Football NA• Disney Sports: American Football JP,,2002,Konami,Konami,"NA, JP"
304,Disney Sports Motocross,,2002,Konami,Konami,"NA, JP, PAL"
305,Disney Sports Skateboarding,,2002,Konami,Konami,"NA, JP, PAL"
306,Disney Sports Snowboarding,,2002,Konami,Konami,"NA, JP, PAL"
307,Disney Sports Soccer NA• Disney Sports Football PAL,,2002,Konami,Konami,"NA, JP, PAL"
308,Disney's Aladdin,,2004,Capcom,Capcom,"NA, JP, PAL"
309,Disney's American Dragon: Jake Long - Rise of the Huntsclan,,2006,WayForward Technologies,Buena Vista Games,"NA, PAL"
310,"Disney's Atlantis: The Lost Empire NA, PAL• Atlantide: L'Empire Perdu FR• Atlantis: Das Geheimnis der verlorenen Stadt DE",,2001,3d6 Games,THQ,"NA, PAL"
311,"Disney's Brother Bear NA, PAL• Disney's Frère des Ours FR• Disney's Bären Brüder DE• Disney Hermano Oso ES• Disney Koda Fratello Orso IT",,2003,Vicarious Visions,THQ,"NA, PAL"
312,"Disney's Chicken Little NA, PAL• Disneys Himmel und Huhn DE",,2005,Artificial Mind and Movement,Buena Vista Games,"NA, JP, PAL"
313,"Disney's Cinderella: Magical Dreams NA, PAL• Disney Cendrillon: Le Bal Enchanté FR• Disneys Cinderella: Zauberhafte Träume ES• Disney La Cenicienta: Sueños Mágicos ES• Disney Cenerentola: Il Sogno si Avvera! IT",,2005,,Disney Interactive Studios,"NA, PAL"
314,Disney's Extreme Skate Adventure,,2003,Vicarious Visions,Activision,"NA, PAL"
315,Disney's Herbie: Fully Loaded,Yes,2005,Disney Interactive Studios,Buena Vista Interactive,"NA, PAL"
316,"Disney's Home on the Range NA, PAL• Disney La Ferme se Rebelle FR• Disney Zafarrancho en el Rancho ES",,2004,Artificial Mind and Movement,Disney Interactive Studios,"NA, PAL"
317,Disney's Kim Possible: Revenge of Monkey Fist NA• Disney's Kim Possible PAL• Disney's Kim Possible: Monkey Fist's Rache DE,,2002 (NA)2003 (PAL),Digital Eclipse Software,Disney Interactive Studios NA / THQ PAL,"NA, PAL"
318,"Disney's Kim Possible 2: Drakken's Demise NA, PAL• Disney's Kim Possible JP• Disneys Kim Possible: Dr. Drakkens Untergang DE• Disney Kim Possible: Contra el Doctor Drakken ES",,2004 (NA)2005 (JP)2006 (PAL),Artificial Mind and Movement,"Disney Interactive Studios NA, PAL / D3 Publisher JP","NA, JP, PAL"
319,Disney's Kim Possible 3: Team Possible,,2005,Artificial Mind and Movement,Disney Interactive Studios,
320,Disney's Lilo & Stitch,,2002,Digital Eclipse Software,Disney Interactive Studios,"NA, PAL"
321,Disney's Lilo & Stitch 2: Hämsterviel Havoc NA• Disney's Lilo & Stitch 2 PAL• Disney's Lilo and Stitch JP,,2004,Firemint,Disney Interactive Studios,"NA, JP, PAL"
322,Disney's Little Einsteins,Yes,2006,InLight Entertainment,Buena Vista Games,"NA, PAL"
323,"Disney's The Lion King 1.mw-parser-output .frac{white-space:nowrap}.mw-parser-output .frac .num,.mw-parser-output .frac .den{font-size:80%;line-height:0;vertical-align:super}.mw-parser-output .frac .den{vertical-align:sub}.mw-parser-output .sr-only{border:0;clip:rect(0,0,0,0);height:1px;margin:-1px;overflow:hidden;padding:0;position:absolute;width:1px}1⁄2 NA• Disney's The Lion King PAL• Disney Le Roi Lion FR• Disneys Der König der Löwen DE• Disney El Rey Leon ES• Disney Il Re Leone IT",,2003,Vicarious Visions,Disney Interactive Studios,"NA, PAL"
324,Disney's The Jungle Book NA• Disney's The Jungle Book 2 PAL• Le Livre de la Jungle 2 FR• Disneys Das Dschungelbuch 2 DE• Disney el Libro de la Selva 2 ES• Disney Il Libro Della Giungla 2 IT,,2003,Visual Impact,Ubisoft,"NA, PAL"
325,"Disney's Magical Quest Starring Mickey & Minnie NA, PAL• Disney's Mickey to Minnie no Magical Quest JP",Yes (SPM),2002,Capcom,Nintendo,"NA, JP, PAL"
326,"Disney's Magical Quest 2 Starring Mickey and Minnie NA, PAL• Disney's Mickey to Minnie no Magical Quest 2 JP",,2003,Capcom,Nintendo,"NA, JP, PAL"
327,"Disney's Magical Quest 3 Starring Mickey & Donald NA, PAL• Disney's Mickey to Donald no Magical Quest 3 JP",,2005,Klein Computer Entertainment,Capcom,"NA, JP, PAL"
328,"Disney's Party NA, PAL• Mickey no Pocket Resort JP",Yes (SPM),2003 (NA/PAL)2004 (JP),Jupiter,Electronic Arts,"NA, JP, PAL"
329,"Disney's Peter Pan: Return to Neverland NA, PAL• Peter Pan: Retour au Pays Imaginaire FR• Disneys Peter Pan: Neue Abenteuer in Nimmerland DE• Disney Peter Pan: Regreso al País de Nunca Jamás ES• Disney Peter Pan: Ritorno all Isola che Non c'è IT• Peter Pan: Terug naar Nooitgedachtland NL",,2001,Amedio,Tomy Corporation,"NA, PAL"
330,"Disney's Tarzan: Return to the Jungle NA, PAL• Tarzan: L'Appel de la Jungle FR• Tarzan: Rüeckkehr in den Dschungel DE",,2002,Digital Eclipse,Activision,"NA, PAL"
331,"Disney's The Little Mermaid: Magic in Two Kingdoms NA, PAL• La Petite Sirene: Aventure Magique entre Terre et Mer FR• Arielle die Meerjungfrau: Ein Meer voller Abenteuer DE• Disney La Sirenita: Dos Reinos Mágicos ES• La Sirenetta: Due Mondi di Magia IT• Disney's De Kleine Zeemeermin: Magie in Twee Werelden NL",,2006,Gorilla Systems,Buena Vista Games,"NA, PAL"
332,Disney's Treasure Planet• Disney La Planète au trésor FR• Disneys Der Schatzplanet DE• Disney El Planeta del tesoro ES• Disney Il Pianeta del Tesoro IT• Disney's Piratenplaneet: De Schat van Kapitein Flint NL,No,2002,Bizarre Creations,Disney Interactive Studios,"NA, PAL"
333,"DK: King of Swing NA, PAL• Bura Bura Donkey JP",Yes (SPM),2005,Paon Corporation,Nintendo,"NA, JP, PAL"
334,"Dogz NA, PAL• Kawaii Koinu: Wonderful JP",,2005,Natsume,Ubisoft,"NA, JP, PAL"
335,Dogz 2,,2007,MTO,Ubisoft,"NA, PAL"
336,Dogz Fashion• Oshare Wanko JP,,2005,Natsume,Ubisoft,"NA, JP, PAL"
337,Dokapon: Monster Hunter NA• Dokapon: Monster Hunter! PAL• Dokapon-Q: Monster Hunter! JP,,2001 (JP/NA)2002 (PAL),"Asmik Ace Entertainment, Inc",AIA,"NA, JP, PAL"
338,DokiDoki Cooking Series 1: Komugi-Chan no Happy Cake,,2002,,MTO,JP
339,DokiDoki Cooking Series 2: Gourmet Kitchen: Suteki na Obentou,,2003,,MTO,JP
340,Dokodemo Taikyoku: Yakuman Advance(Play Anywhere Versus Advance),Yes (SPM),2001,,Nintendo,JP
341,Domo-kun no Fushigi Terebi,,2002,Suzak,Nintendo,JP
342,Don-Chan Puzzle: Hanabi de Don!,,2004,Takumi Corporation,Aruze Corp,JP
343,"Donald Duck Advance NA, PAL• Paperino Advance FR• Pato Donald Advance ES",No,2001,Ubisoft Shanghai,Disney Interactive Studios,"NA, JP, PAL"
344,"Donkey Kong Country NA, PAL• Super Donkey Kong JP",Yes,"June 6, 2003",Rare,Nintendo,"NA, JP, PAL"
345,"Donkey Kong Country 2 NA, PAL• Super Donkey Kong 2 JP",Yes,"June 25, 2004",Rare,Nintendo,"NA, JP, PAL"
346,"Donkey Kong Country 3 NA, PAL• Super Donkey Kong 3 JP",Yes,"November 4, 2005",Rare,Nintendo,"NA, JP, PAL"
347,Doom,Yes,2001,David A. Palmer Productions,Activision,"NA, PAL"
348,Doom II: Hell on Earth,Yes,2002,Torus Games,Activision,"NA, PAL"
349,Dora the Explorer: The Search for Pirate Pig's Treasure,,2002,NewKidCo,Nick Jr.,
350,Dora the Explorer: Super Spies,,2003,Cinegroupe,Gotham Games,
351,"Dora the Explorer: Super Star Adventures NA, PAL• Dora L'exploratrice - Les aventures des super étoiles FR• Dora the Explorer: Superster Avonturen NL",,2004,ImaginEngine,Global Star Software NAThe Game Factory PAL,"NA, PAL"
352,Dora's World Adventure,Yes,2006,Black Lantern Studios,Global Star Software,
353,Doraemon Dokodemo Walker(Doraemon Anywhere Walker),,2002,,Epoch,JP
354,Doraemon Midori No Wakusei(Doraemon's Green Planet),,2001,,Epoch,JP
355,Double Dragon Advance,,2003 (NA)2004 (JP),Million,Atlus,"NA, JP"
356,Doubutsujima no Chobi Gurumi,,2003,AI,,JP
357,Doubutsujima no Chobi Gurumi 2: Tama-chan Monogatari,,2004,AI,,JP
358,Downforce,,2002,Karma Studios,Titus Software,"NA, PAL"
359,"Dr. Mario & Puzzle League NA, PAL• Dr. Mario & Panel de Pon JP",Yes,2005,TOSE,Nintendo,"NA, JP, PAL"
360,Dr. Muto,,2002,Digital Eclipse,Midway,PAL
361,Dr. Seuss: Green Eggs and Ham,,2003,Handheld Games,NewKidCo,
362,Dr. Seuss' The Cat in the Hat NA• The Cat in the Hat PAL,,2003 (NA)2004 (PAL),Digital Eclipse,VU Games,"NA, PAL"
363,"Dr. Sudoku NA, PAL• Minna no Soft Series: Numpla Advance JP",,2006,Success,Mastiff,"NA, JP, PAL"
364,Dragon Ball: Advanced Adventure,,2004 (JP)2005 (PAL/KR)2006 (NA),Dimps,Atari / Banpresto,"NA, JP, PAL"
365,Dragon Ball Z: Buu's Fury,,2004,Webfoot,Atari,
366,Dragon Ball Z: Collectible Card Game,,2002,ImaginEngine,Infogrames,
367,"Dragon Ball Z: The Legacy of Goku NA, PAL• Dragon Ball Z: L'Héritage de Goku FR• Dragon Ball Z: Das Erbe von Goku DE• Dragon Ball Z: El Legado del Goku ES• Dragon Ball Z: Il Destino di Goku IT",,2002,Webfoot,Infogrames,"NA, PAL"
368,"Dragon Ball Z: The Legacy of Goku II NA, PAL• Dragon Ball Z: L'Héritage de Goku II FR• Dragon Ball Z: Das Erbe von Goku II DE• Dragon Ball Z: El Legado del Goku II ES• Dragon Ball Z: Il Destino di Goku II IT",,2003,Webfoot,Infogrames,"NA, JP, PAL"
369,"Dragon Ball Z: Supersonic Warriors NA, PAL• Dragon Ball Z: Bukuu Tougeki JP• Dragon Ball Z: Moogongtoogeuk KR",,2004,Arc System Works,Atari,"NA, JP, PAL, KR"
370,Dragon Ball Z: Taiketsu,Yes,2004,Webfoot,Atari,"NA, PAL"
371,Dragon Ball GT: Transformation,,2005,Webfoot,Atari,
372,Dragon Drive: World D Break,,2003,Zero One,Banpresto,JP
373,Dragon Quest Characters: Toruneko no Daibouken 2 Advance,,2001,,Square Enix,JP
374,Dragon Quest Characters: Torneko no Daibōken 3 Advance - Fushigi no Dungeon,,2004,Rakish,Square Enix,JP
375,Dragon Quest Monsters: Caravan Heart,No,2003,TOSE,Square Enix,JP
376,Dragon Tales: Dragon Adventures,,2001,Handheld Games,NewKidCo,
377,Dragon's Rock PAL• Dragon's Rock: Drachenfels DE,,2006,Independent Arts,East Entertainment Media,PAL
378,Drake & Josh,,2007,Artificial Mind and Movement,THQ,
379,Drill Dozer NA• Screw Breaker: Goushin Dorirurero JP,No,2005,Game Freak,Nintendo,"NA, JP"
380,Driv3r,,2005,V3D Production,Atari,"NA, PAL"
381,Driven,Yes (SPM),2001,Crawfish Interactive,BAM!,"NA, PAL"
382,Driver 2 Advance,,2002,Sennari Interactive,Infogrames,"NA, PAL"
383,Drome Racers,,2003,Möbius Entertainment,THQ,"NA, PAL"
384,Droopy's Tennis Open,Yes (SPM),2002,Bit Managers,LSP,PAL
385,Dual Blades,,2002,Vivid Image,Metro3D,"NA, JP"
386,Duel Masters,,2003,,Takara,JP
387,Duel Masters: Kaijudo Showdown,,2004,Mistic Software,Atari,"NA, PAL"
388,Duel Masters: Sempai Legends,,2004,Mistic Software,Atari,"NA, PAL"
389,Duel Masters: Shadow of the Code,,2004 (PAL)2005 (NA),Mistic Software,Atari,"NA, PAL"
390,Duel Masters 2: Invincible Advance,,2004,,Atlus,JP
391,Duel Masters 2: Kirifuda Shoubu Version,,2004,,Atlus,JP
392,Duel Masters 3,,2004,,Atlus,JP
393,Duke Nukem Advance,Yes,2002,Torus Games,Take-Two Interactive,"NA, PAL"
394,Dungeons & Dragons: Eye of the Beholder,,2002,Pronto Games,Infogrames,
395,Dynasty Warriors Advance• Shin Sangoku Musou Advance JP,No,2005,TOSE,Koei,"NA, JP, PAL"
396,Earthworm Jim,No,2001,Game Titan,Majesco Entertainment,"NA, PAL"
397,Earthworm Jim 2,No,2002,Super Empire,Majesco Entertainment,"NA, PAL"
398,Ecks vs. Sever,,2001,Crawfish Interactive,Bam Entertainment,"NA, PAL"
399,"Ed, Edd n Eddy: Jawbreakers!",,2003,Crawfish Interactive,BAM! Entertainment,"NA, PAL"
400,"Ed, Edd n Eddy: The Mis-Edventures",,2005,Artificial Mind and Movement,Midway Games,"NA, PAL"
401,Egg Mania: Eggstreme Madness NA• Eggo Mania PAL• Tsukande! Mawashite! Dossun Pazuru Eggo Mania JP,Yes (SPM),2002,HotGen,Kemco,"NA, JP, PAL"
402,Elemix!,,2003,,"SIMS Co., Ltd.",JP
403,Elevator Action Old & New,,2002,Taito Corporation,Media Kite,JP
404,Elf: The Movie,,2004 (NA)2005 (PAL),HumanSoft,Crave,"NA, PAL"
405,Elf Bowling 1 & 2,,2005,Black Lantern Studios,Ignition Entertainment,
406,Enchanted: Once Upon Andalasia,,2007,Artificial Mind and Movement,Disney Interactive Studios,
407,Eragon,,2006,Amaze Entertainment,Vivendi Games,"NA, PAL"
408,Erementar Gerad: Huuin Sarashi Kyou(Elemental Gelade: Tozasareshi Uta),,2005,Jupiter,Tomy Company,JP
409,ESPN Final Round Golf 2002 NA• ESPN Final Round Golf PAL• JGTO Golf Master: Japan Tour Golf Game JP,Yes,2001,Konami Computer Entertainment Nagoya,Konami,"NA, JP, PAL"
410,ESPN Great Outdoor Games: Bass 2002 NA• ESPN Great Outdoor Games: Bass Tournament PAL• Exciting Bass JP,,2002,Konami,Konami,"NA, JP, PAL"
411,ESPN International Winter Sports 2002 NA• ESPN International Winter Sports PAL• Hyper Sports 2002 Winter JP,Yes (SPM),2002,Konami,Konami,"NA, JP, PAL"
412,"ESPN Winter X-Games Snowboarding 2002 NA, JP• ESPN Winter X-Games Snowboarding 2 PAL",,2002,KCEO,Konami,"NA, JP, PAL"
413,ESPN X Games Skateboarding,,2001,Konami Honolulu Studio,Konami,"NA, JP, PAL"
414,"E.T. The Extra Terrestrial NA, PAL• E.T. el extraterrestre FR",,2001,Fluid Studios,NewKidCo,"NA, PAL"
415,European Super League,,2001,Aqua Pacific,Virgin Interactive Entertainment,PAL
416,everGirl,,2005,THQ / A2M,Nickelodeon,
417,EX Monopoly,Yes (SPM),2001,Mobile 21,Takara,JP
418,Extreme Ghostbusters: Code Ecto-1,,2002,Magic Pockets,DreamCatcher Interactive,"NA, PAL"
419,Extreme Mahjong Deluxe: Terminator 21(Goku Mahjong Deluxe: Mirai Senshi 21),,2001,,Athena,JP
420,Eyeshield 21: Devilbats Devildays,,2006,Eighting,Nintendo,JP
421,EZ-Talk Shokyuuhen 1,,2001,NDcube,KeyNet,JP
422,EZ-Talk Shokyuuhen 2,,2001,NDcube,KeyNet,JP
423,EZ-Talk Shokyuuhen 3,,2001,NDcube,KeyNet,JP
424,EZ-Talk Shokyuuhen 4,,2001,NDcube,KeyNet,JP
425,EZ-Talk Shokyuuhen 5,,2001,NDcube,KeyNet,JP
426,EZ-Talk Shokyuuhen 6,,2001,NDcube,KeyNet,JP
427,F1 2002,,2002,Visual Science,EA Sports,"NA, PAL"
428,F-14 Tomcat,,2001,Virtucraft,Majesco,"NA, PAL"
429,F24: Stealth Fighter,,2006,Skyworks Technologies,Majesco Entertainment,
430,The Fairly OddParents: Breakin' Da Rules,,2003,Helixe,THQ,
431,"The Fairly OddParents: Clash with Anti-World NA, PAL• Cosmo & Wanda - Wenn Elfen Helfen!: Die Anti-Welt DE• Los Padrinos Magicos: Contra el Anti-Mundo ES",,2005,Razorback Developments,THQ,"NA, PAL"
432,The Fairly OddParents: Enter the Cleft,Yes,2002,Altron,THQ,
433,"The Fairly OddParents: Shadow Showdown NA, PAL• Cosmo & Wanda: Wenn Elfen Helfen! Das Schattenduell DE",,2004,Helixe,THQ,"NA, PAL"
434,F-Zero: Climax,Yes (SPM),2004,Suzak,Nintendo,JP
435,"F-Zero: GP Legend NA, PAL• F-Zero: Falcon Densetsu JP",Yes (SPM),2003,Suzak,Nintendo,"NA, JP, PAL"
436,"F-Zero: Maximum Velocity NA, PAL• F-Zero JP",Yes (SPM),2001,NDcube,Nintendo,"NA, JP, PAL"
437,Famicom Mini: Balloon Fight,,2004,Nintendo,Nintendo,JP
438,Famicom Mini: Clu Clu Land,,2004,Nintendo,Nintendo,JP
439,Famicom Mini: Dig Dug,,2004,Namco,Nintendo,JP
440,Famicom Mini: Hikari Shinwa: Palthena no Kagami(Kid Icarus),,,Nintendo,Nintendo,JP
441,Famicom Mini: Famicom Mukashi Banashi - Shin Onigashima Zenkouhen,,2004,Nintendo,Nintendo,JP
442,Famicom Mini: Famicom Tantei Club - Kieta Koukeisha Zenkouhen,,2004,Nintendo,Nintendo,JP
443,Famicom Mini: Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo Zenkouhen,,2004,Nintendo,Nintendo,JP
444,Famicom Mini: Mappy,,2004,Namco,Nintendo,JP
445,Famicom Mini: Makaimura,,2004,Capcom,Nintendo,JP
446,Famicom Mini: Mario Bros.,,2004,Nintendo,Nintendo,JP
447,Famicom Mini: Ganbare Goemon! Karakuri Douchuu,,2004,Konami,Nintendo,JP
448,Famicom Mini: Nazo no Murasame-Jou,,2004,Nintendo,Nintendo,JP
449,Famicom Mini: SD Gundam World Gachapon Senshi - Scramble Wars,,2004,Nintendo,Nintendo,JP
450,Famicom Mini: Star Soldier,,2004,Nintendo,Nintendo,JP
451,Famicom Mini: Super Mario Bros. 2,,2004,Nintendo,Nintendo,JP
452,Famicom Mini: Takahashi Meijin no Bouken-jima(Master Takahashi's Adventure Island IV),,,,,JP
453,Famicom Mini: Twinbee,,2004,Konami,Nintendo,JP
454,Famicom Mini: Wrecking Crew,,2004,Nintendo,Nintendo,JP
455,Family Feud,,2006,Atomic Planet Entertainment,Global Star Software,
456,Family Tennis Advance,,2002,Natsume,Namco Limited,JP
457,Famista Advance,Yes (SPM),2002,,Namco,JP
458,Fancy Pocket,,2002,,Jorudan,JP
459,"Fantastic 4 NA, PAL• Les Fantastiques 4 FR• I Fantastici 4 IT• Los 4 Fantásticos ES• I Fantastici 4 IT",,2005,7 Studios,Activision,"NA, PAL"
460,"Fantastic Four: Flame On NA, PAL• Les Fantastiques 4: Flame On FR• Los 4 Fantásticos: ¡Llamas a mí! ES• I Fantastici 4: Flame On IT",,2005,Torus Games,Activision,"NA, PAL"
461,Fantastic Children,,2005,Inti Creates,Bandai,JP
462,Fantastic Marchen: Keaki Okusan Monogatari,,2002,,,JP
463,Fear Factor: Unleashed,,2004,DC Studios,Hip Games,
464,Field of Nine: Digital Edition 2001,,2001,Konami,Konami,JP
465,FIFA Football 2003,,2002,Exient Entertainment,EA Sports,"NA, PAL"
466,FIFA Football 2004,,2003,Exient Entertainment,EA Sports,"NA, PAL"
467,FIFA Football 2005,,2004,,EA Sports,"NA, PAL"
468,FIFA 06,,2005,,EA Sports,"NA, PAL"
469,FIFA 07,,2006,,EA Sports,"NA, PAL"
470,FIFA World Cup: Germany 2006,,2006,,EA Sports,
471,FightBox,,2004,Gamezlab,BBC Multimedia,PAL
472,FILA Decathlon,,2002,Athletic Design AB,THQ,PAL
473,"Final Fantasy I & II: Dawn of Souls NA, PAL• Final Fantasy I & II Advance JP",,2004,TOSE,"Square Enix (Japan), Nintendo (overseas)","NA, JP, PAL"
474,Final Fantasy IV Advance,,2005,TOSE,"Square Enix(Japan), Nintendo (overseas)","NA, JP, PAL"
475,Final Fantasy V Advance,,2006,TOSE,"Square Enix (Japan), Nintendo (overseas)","NA, JP, PAL"
476,Final Fantasy VI Advance,,2006,TOSE,"Square Enix (Japan), Nintendo (overseas)","NA, JP, PAL"
477,Final Fantasy Tactics Advance,,2003,Square Enix,"Square Enix (Japan), Nintendo (overseas)","NA, JP, PAL"
478,Final Fight One,,2001,Capcom,Capcom,"NA, JP, PAL"
479,"Finding Nemo NA, PAL• Le Monde de Nemo FR• Findet Nemo DE• Buscando a Nemo ES• Alla Ricerca Di Nemo IT",No,2003,Vicarious Visions,THQ,"NA, JP, PAL"
480,"Finding Nemo: The Continuing Adventure NA, PAL• Finding Nemo: Arata na Bouken JP• Le Monde de Nemo: L'Aventure Continue FR• Findet Nemo: Das Abenteuer Geht Weiter DE• Buscando a Nemo: La Aventura Continúa ES• Alla Ricerca Di Nemo: L'Avventura Continua! IT",,2004,Altron,THQ,"NA, JP, PAL"
481,Fire Emblem: Fuuin no Tsurugi(Fire Emblem: The Binding Blade),,2002,Intelligent Systems,Nintendo,JP
482,"Fire Emblem: The Blazing Blade NA, PAL• Fire Emblem: Rekka no Ken JP",,2003,Intelligent Systems,Nintendo,"NA, JP, PAL"
483,"Fire Emblem: The Sacred Stones NA, PAL• Fire Emblem: Seima no Kousek JP",,2004,Intelligent Systems,Nintendo,"NA, JP, PAL"
484,"Fire Pro Wrestling NA, PAL• Fire Pro Wrestling A JP",Yes,2001,Vaill,Bam Entertainment,"NA, JP, PAL"
485,Fire Pro Wrestling 2 NA• Final Fire ProWrestling: Yume no Dantai Unei! JP,,2002,Spike,Bam Entertainment,"NA, JP"
486,The Flintstones: Big Trouble In Bedrock,,2001,H2O Entertainment,Crave,"NA, PAL"
487,"Flushed Away NA, PAL• Souris City FR• Flutsch und Weg DE• Ratónpolis ES• Giù per il Tubo IT",,2006,Altron,D3 Publisher,"NA, PAL"
488,Football Mania PAL• Soccer Mania NA,,2002,Tiertex Design Studios,Lego Media,"NA, PAL"
489,Ford Racing 3,,2006,,Empire Interactive,"NA, PAL"
490,Formation Soccer 2002,,2002,,Spike,JP
491,Fortress,,2001,,Majesco Entertainment,"NA, PAL"
492,Foster's Home for Imaginary Friends,,2006,Collision Studios,Crave,"NA, PAL"
493,Franklin the Turtle,,2005,InterActive Vision Games,The Game Factory,"NA, PAL"
494,"Franklin's Great Adventures NA, PAL• Les Grandes Aventures de Franklin FR",,2006,Neko Entertainment,The Game Factory,"NA, PAL"
495,Freekstyle,,2003,Full Fat,Destination Software,"NA, PAL"
496,Frogger Advance: The Great Quest,No,2002,KCEA,Konami,"NA, PAL"
497,Frogger's Adventures: Temple of the Frog,No,2001,Konami Software Shanghai,Konami,"NA, PAL"
498,"Frogger's Adventures 2: The Lost Wand NA, PAL• Frogger: Mahou no Kuni no Daibouken JP",Yes (SPM),2002 (NA)2003 (PAL/JP),,Konami,"NA, JP, PAL"
499,Frogger's Journey: The Forgotten Relic NA• Frogger: Kodaibunmei no Nazo JP,,2003 (NA)2004 (JP),,Konami,"NA, JP"
500,From TV animation - One Piece: Mezase! King of Berry,,2003,,Banpresto,JP
501,From TV animation - One Piece: Nanatsu-jima no Dai-hihō JP(One Piece: Big Secret Treasure of the Seven Phantom Islands)• One Piece: Ilgop Seomui Debomool KR,,2002,,Banpresto,"JP, KR"
502,Fruits Mura no Doubutsu Tachi,,2004,,TDK Core,JP
503,Fushigi no Kuni no Alice(Alice's Adventures in Wonderland),,2003,,Global A,JP
504,Fushigi no Kuni no Angelique(Angelique's Adventures in Wonderland),,2002,,Koei,JP
505,Futari wa Pretty Cure: Ariena~i! Yume no Sono wa Daimeikyuu,,2004,,Bandai,JP
506,Futari Wa Pretty Cure Max Heart: Maji? Maji!? Fight de IN Janai,,2005,,Bandai,JP
507,Gachasute! Dino Device Blue,,2002,AI,Smilesoft,JP
